15,21,0,13,33
13,21,0,19,25
14,21,0,0,35
12,20,0,7,35
17,20,0,59,38
10,21,0,25,34
14,21,0,46,35
12,22,0,10,33
19,22,0,39,22
13,22,0,50,28
8,20,0,48,36
18,21,0,62,18
5,21,0,34,25
13,23,0,6,30
16,20,0,0,19
19,21,0,18,38
6,23,0,6,39
15,21,0,66,12
13,20,0,43,12
16,23,0,39,10
6,20,0,48,31
13,22,0,52,26
4,21,0,1,15
4,23,0,0,33
13,20,0,21,16
19,21,0,19,23
8,21,0,51,15
11,20,0,17,22
19,22,0,2,19
9,21,0,59,37
13,20,0,30,29
4,21,0,20,10
18,20,0,57,16
11,22,0,25,14
14,21,0,7,33
14,22,0,21,36
10,20,0,49,20
10,21,0,17,28
15,22,0,8,23
9,23,0,25,18
8,21,0,32,13
19,22,0,33,19
16,21,0,22,23
6,20,0,29,37
11,21,0,38,39
6,23,0,31,15
17,20,0,21,20
10,20,0,56,13
19,21,0,49,17
13,20,0,45,34
11,22,0,25,31
17,21,0,63,23
13,21,0,49,34
4,23,0,23,34
11,22,0,7,30
10,22,0,16,27
7,21,0,38,39
11,21,0,4,33
15,21,0,52,38
19,20,0,31,14
19,20,0,41,19
8,22,0,22,36
6,21,0,64,26
19,23,0,46,30
10,22,0,42,19
18,21,0,38,30
15,22,0,52,10
19,21,0,67,29
19,22,0,50,21
17,21,0,15,23
14,21,0,49,36
5,22,0,47,23
13,21,0,32,12
18,21,0,59,33
10,22,0,46,26
10,23,0,14,17
17,23,0,22,36
8,23,0,22,14
19,20,0,64,21
16,22,0,5,20
7,21,0,46,12
14,20,0,28,26
7,22,0,0,10
17,21,0,28,33
19,21,0,66,19
8,23,0,12,38
14,20,0,56,13
5,21,0,39,13
14,21,0,23,35
7,21,0,34,37
9,21,0,56,38
17,21,0,20,18
7,23,0,18,20
16,20,0,5,33
17,22,0,29,32
12,23,0,37,36
14,21,0,14,21
14,23,0,59,30
7,22,0,6,12
16,20,0,65,34
16,03,0,144,16
17,07,0,136,20
17,00,0,168,23
10,00,0,236,11
8,06,0,40,14
9,06,0,29,17
11,05,0,89,10
6,06,0,216,21
0,03,0,234,18
16,06,0,161,13
11,03,0,110,12
6,00,0,233,12
14,01,0,65,16
17,00,0,120,19
17,04,0,25,19
7,05,0,143,21
7,01,0,62,14
4,07,0,85,22
1,00,0,182,23
0,05,0,172,14
0,07,0,91,10
4,07,0,237,11
5,04,0,242,16
8,08,0,98,18
1,00,0,169,11
0,04,0,128,18
5,03,0,82,14
